Date,Code,Name,Close,Marcap,Stocks,Naver_Close,Institution_Net_Volume,Foreign_Net_Volume,Institution_Net_Est_Value,Foreign_Net_Est_Value,Basket,KOSPI_Marcap,KOSPI_Share_Pct
2026-06-23,003230,삼양식품,1072000.0,8075392080000.0,7533015,1072000.0,25633.0,-1594.0,27478576000.0,-1708768000.0,생활소비재,6706835470356674.0,0.12040540006821646
2026-06-23,015760,한국전력,36250.0,23271197791250.0,641964077,36250.0,168509.0,-83113.0,6108451250.0,-3012846250.0,생활소비재,6706835470356674.0,0.34697731730718034
2026-06-23,033780,KT&G,172600.0,17917684705600.0,103810456,172600.0,41557.0,-32778.0,7172738200.0,-5657482800.0,생활소비재,6706835470356674.0,0.2671555726213025
2026-06-23,090430,아모레퍼시픽,96200.0,5627003415800.0,58492759,96200.0,-71096.0,2834.0,-6839435200.0,272630800.0,생활소비재,6706835470356674.0,0.08389952967641165
2026-06-23,278470,에이피알,355500.0,13309264102500.0,37438155,355500.0,24694.0,-1391.0,8778717000.0,-494500500.0,생활소비재,6706835470356674.0,0.19844327718079843
2026-06-24,024110,기업은행,20150.0,16068131260350.0,797425869,20150.0,-175896.0,-688832.0,-3544304400.0,-13879964800.0,금융,6927816045835479.0,0.23193645954281716
2026-06-24,032830,삼성생명,433000.0,86600000000000.0,200000000,433000.0,-16100.0,36396.0,-6971300000.0,15759468000.0,금융,6927816045835479.0,1.2500331912256517
2026-06-24,055550,신한지주,95700.0,45424422347700.0,474654361,95700.0,-35191.0,-156095.0,-3367778700.0,-14938291500.0,금융,6927816045835479.0,0.6556817046983515
2026-06-24,086790,하나금융지주,114200.0,31332796821600.0,274367748,114200.0,15603.0,-73900.0,1781862600.0,-8439380000.0,금융,6927816045835479.0,0.4522752425049608
2026-06-24,105560,KB금융,151800.0,53841598021200.0,354687734,151800.0,-123319.0,-25786.0,-18719824200.0,-3914314800.0,금융,6927816045835479.0,0.7771799606827872
2026-06-24,316140,우리금융지주,29250.0,21471732360000.0,734076320,29250.0,-194497.0,-10924.0,-5689037250.0,-319527000.0,금융,6927816045835479.0,0.3099350822530473
2026-06-24,000660,SK하이닉스,2580000.0,1838772101700000.0,712702365,2580000.0,343532.0,-1407204.0,886312560000.0,-3630586320000.0,반도체,6927816045835479.0,26.54187249682159
2026-06-24,005930,삼성전자,340500.0,1990657866024000.0,5846278608,340500.0,2969153.0,-596340.0,1010996596500.0,-203053770000.0,반도체,6927816045835479.0,28.73427719289176
2026-06-24,003230,삼양식품,1122000.0,8452042830000.0,7533015,1122000.0,18113.0,-6377.0,20322786000.0,-7154994000.0,생활소비재,6927816045835479.0,0.12200154816582898
2026-06-24,015760,한국전력,36750.0,23592179829750.0,641964077,36750.0,-107026.0,410486.0,-3933205500.0,15085360500.0,생활소비재,6927816045835479.0,0.3405428157107604
2026-06-24,033780,KT&G,168600.0,17502442881600.0,103810456,168600.0,-37969.0,24936.0,-6401573400.0,4204209600.0,생활소비재,6927816045835479.0,0.25264012158811944
2026-06-24,090430,아모레퍼시픽,98000.0,5732290382000.0,58492759,98000.0,-29265.0,26449.0,-2867970000.0,2592002000.0,생활소비재,6927816045835479.0,0.08274310899819365
2026-06-24,278470,에이피알,371000.0,13889555505000.0,37438155,371000.0,18032.0,-4289.0,6689872000.0,-1591219000.0,생활소비재,6927816045835479.0,0.2004896696607502
2026-06-25,024110,기업은행,19950.0,15908646086550.0,797425869,19950.0,721.0,-176911.0,14383950.0,-3529374450.0,금융,7310414588574391.0,0.21761619527590098
2026-06-25,032830,삼성생명,447000.0,89400000000000.0,200000000,447000.0,43288.0,-66059.0,19349736000.0,-29528373000.0,금융,7310414588574391.0,1.222912858317574
2026-06-25,055550,신한지주,94500.0,44854837114500.0,474654361,94500.0,-95402.0,-15081.0,-9015489000.0,-1425154500.0,금융,7310414588574391.0,0.6135744638150156
2026-06-25,086790,하나금융지주,114000.0,31277923272000.0,274367748,114000.0,-83239.0,38256.0,-9489246000.0,4361184000.0,금융,7310414588574391.0,0.42785430146307923
2026-06-25,105560,KB금융,151900.0,53877066794600.0,354687734,151900.0,-33431.0,-16519.0,-5078168900.0,-2509236100.0,금융,7310414588574391.0,0.736990578876411
2026-06-25,316140,우리금융지주,29050.0,21324917096000.0,734076320,29050.0,-563269.0,353702.0,-16362964450.0,10275043100.0,금융,7310414588574391.0,0.29170598791112595
2026-06-25,000660,SK하이닉스,2917000.0,2078952798705000.0,712702365,2917000.0,865177.0,-113276.0,2523721309000.0,-330426092000.0,반도체,7310414588574391.0,28.438233885588943
2026-06-25,005930,삼성전자,358500.0,2095890880968000.0,5846278608,358500.0,3411480.0,-1773490.0,1223015580000.0,-635796165000.0,반도체,7310414588574391.0,28.66993185644648
2026-06-25,003230,삼양식품,1143000.0,8610236145000.0,7533015,1143000.0,10063.0,-96.0,11502009000.0,-109728000.0,생활소비재,7310414588574391.0,0.11778040822003624
2026-06-25,015760,한국전력,38800.0,24908206187600.0,641964077,38800.0,436824.0,-33466.0,16948771200.0,-1298480800.0,생활소비재,7310414588574391.0,0.3407222105642215
2026-06-25,033780,KT&G,170500.0,17699682748000.0,103810456,170500.0,-18112.0,28249.0,-3088096000.0,4816454500.0,생활소비재,7310414588574391.0,0.2421159912826726
2026-06-25,090430,아모레퍼시픽,97700.0,5714742554300.0,58492759,97700.0,-28826.0,38091.0,-2816300200.0,3721490700.0,생활소비재,7310414588574391.0,0.07817261914572804
2026-06-25,278470,에이피알,381000.0,14263937055000.0,37438155,381000.0,12173.0,-5651.0,4637913000.0,-2153031000.0,생활소비재,7310414588574391.0,0.19511803170908287
2026-06-26,024110,기업은행,19660.0,15677392584540.0,797425869,19660.0,49449.0,-282174.0,972167340.0,-5547540840.0,금융,6885382217962999.0,0.2276909558287102
2026-06-26,032830,삼성생명,432500.0,86500000000000.0,200000000,432500.0,15149.0,11586.0,6551942500.0,5010945000.0,금융,6885382217962999.0,1.256284651479966
2026-06-26,055550,신한지주,91600.0,43478339467600.0,474654361,91600.0,-62014.0,-36259.0,-5680482400.0,-3321324400.0,금융,6885382217962999.0,0.6314586190171273
2026-06-26,086790,하나금융지주,109700.0,30098141955600.0,274367748,109700.0,-41592.0,-43863.0,-4562642400.0,-4811771100.0,금융,6885382217962999.0,0.4371310263223755
2026-06-26,105560,KB금융,149300.0,52954878686200.0,354687734,149300.0,-21095.0,-63894.0,-3149483500.0,-9539374200.0,금융,6885382217962999.0,0.7690913446757992
2026-06-26,316140,우리금융지주,28350.0,20811063672000.0,734076320,28350.0,-252733.0,-20182.0,-7164980550.0,-572159700.0,금융,6885382217962999.0,0.3022499407179872
2026-06-26,000660,SK하이닉스,2673000.0,1905053421645000.0,712702365,2673000.0,-1065176.0,-847969.0,-2847215448000.0,-2266621137000.0,반도체,6885382217962999.0,27.668085246959595
