Date,Code,Naver_Close,Institution_Net_Volume,Foreign_Net_Volume,Name,Stocks,Marcap,Close,Latest_Name,Latest_Stocks,Basket,Foreign_Net_Est_Value,Institution_Net_Est_Value
2026-06-10,003230,1136000.0,11773.0,-7941.0,삼양식품,7533015.0,8557505040000.0,1136000.0,삼양식품,7533015,생활소비재,-9020976000.0,13374128000.0
2026-06-10,015760,36400.0,77411.0,306420.0,한국전력,641964077.0,23367492402800.0,36400.0,한국전력,641964077,생활소비재,11153688000.0,2817760400.0
2026-06-10,033780,185100.0,-45503.0,68372.0,KT&G,103810456.0,19215315405600.0,185100.0,KT&G,103810456,생활소비재,12655657200.0,-8422605300.0
2026-06-10,090430,111800.0,6504.0,-16317.0,아모레퍼시픽,58492759.0,6539490456200.0,111800.0,아모레퍼시픽,58492759,생활소비재,-1824240600.0,727147200.0
2026-06-10,278470,410500.0,38634.0,-4613.0,에이피알,37438155.0,15368362627500.0,410500.0,에이피알,37438155,생활소비재,-1893636500.0,15859257000.0
2026-06-11,024110,20950.0,193714.0,-180355.0,기업은행,797425869.0,16706071955550.0,20950.0,기업은행,797425869,금융,-3778437250.0,4058308300.0
2026-06-11,032830,365000.0,23540.0,49256.0,삼성생명,200000000.0,73000000000000.0,365000.0,삼성생명,200000000,금융,17978440000.0,8592100000.0
2026-06-11,055550,96900.0,109032.0,-70797.0,신한지주,474654361.0,45994007580900.0,96900.0,신한지주,469450239,금융,-6860229300.0,10565200800.0
2026-06-11,086790,114800.0,-107470.0,48741.0,하나금융지주,274367748.0,31497417470400.0,114800.0,하나금융지주,274367748,금융,5595466800.0,-12337556000.0
2026-06-11,105560,151500.0,23399.0,-47506.0,KB금융,354687734.0,53735191701000.0,151500.0,KB금융,354687734,금융,-7197159000.0,3544948500.0
2026-06-11,316140,30150.0,531050.0,-413212.0,우리금융지주,734076320.0,22132401048000.0,30150.0,우리금융지주,728089682,금융,-12458341800.0,16011157500.0
2026-06-11,000660,2101000.0,-513455.0,260726.0,SK하이닉스,712702365.0,1497387668865000.0,2101000.0,SK하이닉스,730492365,반도체,547785326000.0,-1078768955000.0
2026-06-11,005930,299000.0,-5437840.0,549645.0,삼성전자,5846278608.0,1748037303792000.0,299000.0,삼성전자,5846278608,반도체,164343855000.0,-1625914160000.0
2026-06-11,003230,1176000.0,18058.0,-8117.0,삼양식품,7533015.0,8858825640000.0,1176000.0,삼양식품,7533015,생활소비재,-9545592000.0,21236208000.0
2026-06-11,015760,35900.0,-268679.0,459343.0,한국전력,641964077.0,23046510364300.0,35900.0,한국전력,641964077,생활소비재,16490413700.0,-9645576100.0
2026-06-11,033780,185100.0,234033.0,-213017.0,KT&G,103810456.0,19215315405600.0,185100.0,KT&G,103810456,생활소비재,-39429446700.0,43319508300.0
2026-06-11,090430,111800.0,75510.0,-74289.0,아모레퍼시픽,58492759.0,6539490456200.0,111800.0,아모레퍼시픽,58492759,생활소비재,-8305510200.0,8442018000.0
2026-06-11,278470,410500.0,109523.0,-115758.0,에이피알,37438155.0,15368362627500.0,410500.0,에이피알,37438155,생활소비재,-47518659000.0,44959191500.0
2026-06-12,024110,21800.0,939007.0,358641.0,기업은행,797425869.0,17383883944200.0,21800.0,기업은행,797425869,금융,7818373800.0,20470352600.0
2026-06-12,032830,385500.0,-19616.0,36458.0,삼성생명,200000000.0,77100000000000.0,385500.0,삼성생명,200000000,금융,14054559000.0,-7561968000.0
2026-06-12,055550,99600.0,-183731.0,391020.0,신한지주,474654361.0,47275574355600.0,99600.0,신한지주,469450239,금융,38945592000.0,-18299607600.0
2026-06-12,086790,121000.0,231616.0,9788.0,하나금융지주,274367748.0,33198497508000.0,121000.0,하나금융지주,274367748,금융,1184348000.0,28025536000.0
2026-06-12,105560,161200.0,229909.0,138099.0,KB금융,354687734.0,57175662720800.0,161200.0,KB금융,354687734,금융,22261558800.0,37061330800.0
